timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/09/22 13:33:56.049, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 200.06 W
2026/09/22 13:33:57.050, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 200.28 W
2026/09/22 13:33:58.050, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 199.98 W
2026/09/22 13:33:59.050, 0, 80 %, 3 %, 4947 MiB, 143771 MiB, 192.77 W
2026/09/22 13:34:00.050, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 199.70 W
2026/09/22 13:34:01.050, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.41 W
2026/09/22 13:34:02.050, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 201.32 W
2026/09/22 13:34:03.050, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.76 W
2026/09/22 13:34:04.050, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 197.25 W
2026/09/22 13:34:05.050, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 195.71 W
2026/09/22 13:34:06.050, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 200.07 W
2026/09/22 13:34:07.051, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 199.38 W
2026/09/22 13:34:08.051, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 200.56 W
2026/09/22 13:34:09.051, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 199.64 W
2026/09/22 13:34:10.051, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 193.32 W
2026/09/22 13:34:11.051, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 199.58 W
2026/09/22 13:34:12.051, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 201.52 W
2026/09/22 13:34:13.051, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 199.23 W
2026/09/22 13:34:14.051, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 202.49 W
2026/09/22 13:34:15.051, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 191.64 W
2026/09/22 13:34:16.051, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 200.72 W
2026/09/22 13:34:17.051, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 201.94 W
2026/09/22 13:34:18.052, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.73 W
2026/09/22 13:34:19.052, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 201.19 W
2026/09/22 13:34:20.052, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 192.18 W
2026/09/22 13:34:21.052, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.86 W
2026/09/22 13:34:22.052, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 201.11 W
2026/09/22 13:34:23.052, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 202.16 W
2026/09/22 13:34:24.052, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.27 W
2026/09/22 13:34:25.052, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 191.69 W
2026/09/22 13:34:26.052, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 202.00 W
2026/09/22 13:34:27.052, 0, 99 %, 5 %, 5651 MiB, 143771 MiB, 199.08 W
2026/09/22 13:34:28.052, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.41 W
2026/09/22 13:34:29.053, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 199.07 W
2026/09/22 13:34:30.053, 0, 98 %, 5 %, 4947 MiB, 143771 MiB, 193.85 W
2026/09/22 13:34:31.053, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 202.67 W
2026/09/22 13:34:32.053, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 199.07 W
2026/09/22 13:34:33.053, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.05 W
2026/09/22 13:34:34.053, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.44 W
2026/09/22 13:34:35.053, 0, 75 %, 3 %, 4947 MiB, 143771 MiB, 192.81 W
2026/09/22 13:34:36.053, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 201.01 W
2026/09/22 13:34:37.053, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 203.27 W
2026/09/22 13:34:38.053, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 199.01 W
2026/09/22 13:34:39.054, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 195.49 W
2026/09/22 13:34:40.054, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 196.05 W
2026/09/22 13:34:41.054, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 206.14 W
2026/09/22 13:34:42.054, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 206.82 W
2026/09/22 13:34:43.054, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.20 W
2026/09/22 13:34:44.054, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 203.36 W
2026/09/22 13:34:45.054, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 200.01 W
2026/09/22 13:34:46.054, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 199.98 W
2026/09/22 13:34:47.054, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 200.90 W
2026/09/22 13:34:48.054, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 201.04 W
2026/09/22 13:34:49.054, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 199.66 W
2026/09/22 13:34:50.055, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 199.85 W
2026/09/22 13:34:51.055, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 192.90 W
2026/09/22 13:34:52.055, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 197.95 W
2026/09/22 13:34:53.055, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 199.97 W
