timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/09/22 14:05:55.210, 0, 90 %, 4 %, 4943 MiB, 143771 MiB, 182.56 W
2026/09/22 14:05:55.460, 0, 85 %, 3 %, 4943 MiB, 143771 MiB, 182.47 W
2026/09/22 14:05:55.710, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 182.62 W
2026/09/22 14:05:55.960, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 183.36 W
2026/09/22 14:05:56.210, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 190.16 W
2026/09/22 14:05:56.461, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 190.15 W
2026/09/22 14:05:56.711, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 190.57 W
2026/09/22 14:05:56.961, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 190.00 W
2026/09/22 14:05:57.211, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 190.57 W
2026/09/22 14:05:57.461, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 190.57 W
2026/09/22 14:05:57.711, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 190.52 W
2026/09/22 14:05:57.961, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 190.86 W
2026/09/22 14:05:58.211, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 190.97 W
2026/09/22 14:05:58.462, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 190.72 W
2026/09/22 14:05:58.712, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 190.09 W
2026/09/22 14:05:58.962, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 189.76 W
2026/09/22 14:05:59.212, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 189.43 W
2026/09/22 14:05:59.462, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 190.35 W
2026/09/22 14:05:59.712, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 190.62 W
2026/09/22 14:05:59.962, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 190.96 W
2026/09/22 14:06:00.212, 0, 99 %, 5 %, 5643 MiB, 143771 MiB, 191.70 W
2026/09/22 14:06:00.463, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 191.25 W
2026/09/22 14:06:00.713, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 184.11 W
2026/09/22 14:06:00.963, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 183.66 W
2026/09/22 14:06:01.213, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 183.12 W
2026/09/22 14:06:01.463, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 182.83 W
2026/09/22 14:06:01.713, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 190.73 W
2026/09/22 14:06:01.963, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 190.76 W
2026/09/22 14:06:02.214, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 190.84 W
2026/09/22 14:06:02.464, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 191.80 W
2026/09/22 14:06:02.714, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 191.79 W
2026/09/22 14:06:02.964, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 191.29 W
2026/09/22 14:06:03.214, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 191.15 W
2026/09/22 14:06:03.464, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 191.81 W
2026/09/22 14:06:03.714, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 191.35 W
2026/09/22 14:06:03.964, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 191.96 W
2026/09/22 14:06:04.215, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 192.39 W
2026/09/22 14:06:04.465, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 191.36 W
2026/09/22 14:06:04.715, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 191.22 W
2026/09/22 14:06:04.965, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 190.98 W
2026/09/22 14:06:05.215, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 190.58 W
2026/09/22 14:06:05.465, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 191.36 W
2026/09/22 14:06:05.715, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 191.14 W
2026/09/22 14:06:05.965, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 190.42 W
2026/09/22 14:06:06.216, 0, 84 %, 3 %, 4943 MiB, 143771 MiB, 185.12 W
2026/09/22 14:06:06.466, 0, 91 %, 4 %, 4943 MiB, 143771 MiB, 184.12 W
2026/09/22 14:06:06.716, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 184.40 W
2026/09/22 14:06:06.966, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 185.94 W
2026/09/22 14:06:07.216, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 191.54 W
2026/09/22 14:06:07.466, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 191.63 W
2026/09/22 14:06:07.716, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 192.13 W
2026/09/22 14:06:07.966, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 191.16 W
2026/09/22 14:06:08.217, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 190.81 W
2026/09/22 14:06:08.467, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 191.30 W
2026/09/22 14:06:08.717, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 190.85 W
2026/09/22 14:06:08.967, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 190.36 W
2026/09/22 14:06:09.217, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 190.70 W
2026/09/22 14:06:09.467, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 191.62 W
2026/09/22 14:06:09.717, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 191.65 W
2026/09/22 14:06:09.967, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 192.12 W
2026/09/22 14:06:10.218, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 191.73 W
2026/09/22 14:06:10.468, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 191.03 W
2026/09/22 14:06:10.718, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 190.59 W
2026/09/22 14:06:10.968, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 190.04 W
2026/09/22 14:06:11.218, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 189.95 W
2026/09/22 14:06:11.468, 0, 96 %, 5 %, 4943 MiB, 143771 MiB, 190.49 W
2026/09/22 14:06:11.718, 0, 80 %, 3 %, 4943 MiB, 143771 MiB, 184.24 W
2026/09/22 14:06:11.968, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 184.75 W
2026/09/22 14:06:12.219, 0, 99 %, 5 %, 5643 MiB, 143771 MiB, 185.04 W
2026/09/22 14:06:12.469, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 185.90 W
2026/09/22 14:06:12.719, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 191.41 W
2026/09/22 14:06:12.969, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 192.56 W
2026/09/22 14:06:13.219, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 193.07 W
2026/09/22 14:06:13.469, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 192.79 W
2026/09/22 14:06:13.719, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 193.66 W
2026/09/22 14:06:13.969, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 193.66 W
2026/09/22 14:06:14.220, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 194.78 W
2026/09/22 14:06:14.470, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 192.89 W
2026/09/22 14:06:14.720, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 190.92 W
2026/09/22 14:06:14.970, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 189.11 W
2026/09/22 14:06:15.220, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 186.33 W
2026/09/22 14:06:15.470, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 186.24 W
2026/09/22 14:06:15.720, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 187.60 W
2026/09/22 14:06:15.971, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 189.10 W
2026/09/22 14:06:16.221, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 190.98 W
2026/09/22 14:06:16.471, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 192.32 W
2026/09/22 14:06:16.721, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 191.54 W
2026/09/22 14:06:16.971, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 183.85 W
2026/09/22 14:06:17.221, 0, 76 %, 3 %, 4943 MiB, 143771 MiB, 183.60 W
2026/09/22 14:06:17.471, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 184.40 W
2026/09/22 14:06:17.721, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 185.06 W
2026/09/22 14:06:17.972, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 192.41 W
2026/09/22 14:06:18.222, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 191.59 W
2026/09/22 14:06:18.472, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 190.76 W
2026/09/22 14:06:18.722, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 191.82 W
2026/09/22 14:06:18.972, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 191.18 W
2026/09/22 14:06:19.222, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 191.78 W
2026/09/22 14:06:19.472, 0, 98 %, 5 %, 4943 MiB, 143771 MiB, 191.88 W
2026/09/22 14:06:19.722, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 191.24 W
2026/09/22 14:06:19.973, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 191.29 W
2026/09/22 14:06:20.223, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 191.19 W
2026/09/22 14:06:20.473, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 191.90 W
2026/09/22 14:06:20.723, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 192.15 W
2026/09/22 14:06:20.973, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 192.75 W
2026/09/22 14:06:21.223, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 192.29 W
2026/09/22 14:06:21.473, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 192.51 W
2026/09/22 14:06:21.724, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 192.69 W
2026/09/22 14:06:21.974, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 192.55 W
2026/09/22 14:06:22.224, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 192.75 W
2026/09/22 14:06:22.474, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 185.69 W
2026/09/22 14:06:22.724, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 185.90 W
2026/09/22 14:06:22.974, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 185.07 W
2026/09/22 14:06:23.224, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 185.30 W
2026/09/22 14:06:23.474, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 192.80 W
2026/09/22 14:06:23.725, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 191.54 W
2026/09/22 14:06:23.975, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 191.87 W
2026/09/22 14:06:24.225, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 192.18 W
2026/09/22 14:06:24.475, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 192.77 W
2026/09/22 14:06:24.725, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 192.43 W
2026/09/22 14:06:24.975, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 192.56 W
