timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2026/09/23 11:24:48.947, 0, 91 %, 1895 MiB, 134.84 W
2026/09/23 11:24:48.948, 1, 86 %, 1899 MiB, 122.69 W
2026/09/23 11:24:48.949, 2, 89 %, 1739 MiB, 121.24 W
2026/09/23 11:24:48.951, 3, 94 %, 1739 MiB, 120.03 W
2026/09/23 11:24:58.953, 0, 90 %, 1737 MiB, 141.60 W
2026/09/23 11:24:58.954, 1, 87 %, 1739 MiB, 126.47 W
2026/09/23 11:24:58.955, 2, 89 %, 1739 MiB, 126.00 W
2026/09/23 11:24:58.956, 3, 93 %, 1739 MiB, 128.17 W
2026/09/23 11:25:08.959, 0, 91 %, 1739 MiB, 136.29 W
2026/09/23 11:25:08.960, 1, 87 %, 1899 MiB, 121.73 W
2026/09/23 11:25:08.961, 2, 89 %, 1899 MiB, 124.15 W
2026/09/23 11:25:08.963, 3, 93 %, 1901 MiB, 122.53 W
2026/09/23 11:25:18.965, 0, 90 %, 1739 MiB, 82.38 W
2026/09/23 11:25:18.966, 1, 82 %, 1739 MiB, 76.44 W
2026/09/23 11:25:18.967, 2, 88 %, 1739 MiB, 78.10 W
2026/09/23 11:25:18.968, 3, 93 %, 1741 MiB, 78.00 W
2026/09/23 11:25:28.971, 0, 91 %, 1739 MiB, 141.89 W
2026/09/23 11:25:28.972, 1, 86 %, 1739 MiB, 134.45 W
2026/09/23 11:25:28.973, 2, 88 %, 1739 MiB, 137.32 W
2026/09/23 11:25:28.974, 3, 93 %, 1741 MiB, 139.47 W
2026/09/23 11:25:38.977, 0, 91 %, 1737 MiB, 137.62 W
2026/09/23 11:25:38.978, 1, 86 %, 1739 MiB, 128.25 W
2026/09/23 11:25:38.979, 2, 89 %, 1739 MiB, 131.19 W
2026/09/23 11:25:38.980, 3, 93 %, 1899 MiB, 132.38 W
2026/09/23 11:25:48.983, 0, 91 %, 1895 MiB, 132.03 W
2026/09/23 11:25:48.984, 1, 88 %, 1899 MiB, 119.88 W
2026/09/23 11:25:48.985, 2, 89 %, 1739 MiB, 119.87 W
2026/09/23 11:25:48.986, 3, 93 %, 1899 MiB, 113.90 W
2026/09/23 11:25:58.990, 0, 91 %, 1739 MiB, 141.51 W
2026/09/23 11:25:58.991, 1, 87 %, 1739 MiB, 134.97 W
2026/09/23 11:25:58.992, 2, 88 %, 1739 MiB, 138.41 W
2026/09/23 11:25:58.993, 3, 93 %, 1741 MiB, 139.58 W
2026/09/23 11:26:08.996, 0, 58 %, 1739 MiB, 130.98 W
2026/09/23 11:26:08.997, 1, 69 %, 1739 MiB, 125.90 W
2026/09/23 11:26:08.999, 2, 37 %, 1775 MiB, 130.19 W
2026/09/23 11:26:09.000, 3, 37 %, 1741 MiB, 133.31 W
2026/09/23 11:26:19.002, 0, 91 %, 1737 MiB, 143.44 W
2026/09/23 11:26:19.004, 1, 87 %, 1739 MiB, 136.90 W
2026/09/23 11:26:19.005, 2, 90 %, 1775 MiB, 138.89 W
2026/09/23 11:26:19.006, 3, 94 %, 1739 MiB, 141.03 W
2026/09/23 11:26:29.008, 0, 91 %, 1737 MiB, 143.35 W
2026/09/23 11:26:29.009, 1, 88 %, 1739 MiB, 133.13 W
2026/09/23 11:26:29.010, 2, 90 %, 1775 MiB, 131.24 W
2026/09/23 11:26:29.011, 3, 94 %, 1739 MiB, 133.97 W
2026/09/23 11:26:39.014, 0, 91 %, 1739 MiB, 139.58 W
2026/09/23 11:26:39.015, 1, 87 %, 1739 MiB, 131.12 W
2026/09/23 11:26:39.016, 2, 90 %, 1775 MiB, 137.92 W
2026/09/23 11:26:39.017, 3, 93 %, 1741 MiB, 139.10 W
2026/09/23 11:26:49.020, 0, 91 %, 1739 MiB, 142.96 W
2026/09/23 11:26:49.021, 1, 88 %, 1739 MiB, 136.90 W
2026/09/23 11:26:49.022, 2, 89 %, 1775 MiB, 139.86 W
2026/09/23 11:26:49.023, 3, 94 %, 1741 MiB, 139.58 W
2026/09/23 11:26:59.025, 0, 92 %, 1739 MiB, 142.96 W
2026/09/23 11:26:59.026, 1, 86 %, 1739 MiB, 125.50 W
2026/09/23 11:26:59.027, 2, 89 %, 1775 MiB, 126.97 W
2026/09/23 11:26:59.028, 3, 93 %, 1741 MiB, 127.29 W
2026/09/23 11:27:09.031, 0, 91 %, 1737 MiB, 140.06 W
2026/09/23 11:27:09.032, 1, 87 %, 1739 MiB, 133.52 W
2026/09/23 11:27:09.033, 2, 90 %, 1775 MiB, 136.38 W
2026/09/23 11:27:09.034, 3, 93 %, 1739 MiB, 139.10 W
2026/09/23 11:27:19.036, 0, 92 %, 1737 MiB, 133.97 W
2026/09/23 11:27:19.038, 1, 88 %, 1899 MiB, 119.31 W
2026/09/23 11:27:19.038, 2, 90 %, 1775 MiB, 121.24 W
2026/09/23 11:27:19.039, 3, 93 %, 1739 MiB, 122.05 W
2026/09/23 11:27:29.042, 0, 91 %, 1739 MiB, 143.35 W
2026/09/23 11:27:29.043, 1, 87 %, 1739 MiB, 130.24 W
2026/09/23 11:27:29.045, 2, 90 %, 1775 MiB, 130.27 W
2026/09/23 11:27:29.046, 3, 93 %, 1741 MiB, 132.52 W
2026/09/23 11:27:39.049, 0, 91 %, 1739 MiB, 138.62 W
2026/09/23 11:27:39.050, 1, 87 %, 1739 MiB, 131.60 W
2026/09/23 11:27:39.051, 2, 90 %, 1775 MiB, 135.51 W
2026/09/23 11:27:39.052, 3, 93 %, 1741 MiB, 138.62 W
2026/09/23 11:27:49.054, 0, 91 %, 1737 MiB, 134.36 W
2026/09/23 11:27:49.055, 1, 88 %, 1739 MiB, 127.83 W
2026/09/23 11:27:49.056, 2, 90 %, 1775 MiB, 130.67 W
2026/09/23 11:27:49.057, 3, 93 %, 1739 MiB, 134.84 W
2026/09/23 11:27:59.060, 0, 88 %, 1895 MiB, 134.36 W
2026/09/23 11:27:59.061, 1, 86 %, 1899 MiB, 121.24 W
2026/09/23 11:27:59.062, 2, 90 %, 1775 MiB, 122.13 W
2026/09/23 11:27:59.063, 3, 93 %, 1739 MiB, 123.02 W
2026/09/23 11:28:09.066, 0, 92 %, 1739 MiB, 148.65 W
2026/09/23 11:28:09.067, 1, 90 %, 1739 MiB, 140.65 W
